,place_id,city,lat,lon,date,humidity (%),wind_speed (km/h),summary,temp_day (°C),temp_min (°C),temp_max (°C),feels_like_day (°C),feels_like_night (°C),pop (%),rain (mm),hotel_name,hotel_address,hotel_general_review,hotel_rating,numbers_of_reviews,hotel_facilities,hotel_description,url_booking_hotel,lat_hotel,lon_hotel
0,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,"Matisse studio in centre near beach w/ balcony, AC"," 8 Place du 18 Juin, 66190 Collioure, France ",Exceptional,10.0,2 reviews,"['Free WiFi', 'Non-smoking rooms', 'Free WiFi', 'Non-smoking rooms', 'Dining table', 'Coffee machine', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Microwave', 'Refrigerator', 'Linen', 'Toilet paper', 'Towels', 'Private bathroom', 'Toilet', 'Hairdryer', 'Shower', 'Seating Area', 'Streaming service (like Netflix)', 'Flat-screen TV', 'TV', 'Socket near the bed', 'Drying rack for clothing', 'Fan', 'Ironing facilities', 'Iron', 'Upper floors accessible by stairs only', 'Outdoor dining area', 'Balcony', 'Tea/Coffee maker', 'Beach', 'City view', 'Landmark view', 'View', 'Private apartment in building', 'Air conditioning', 'Non-smoking throughout', 'Heating', 'Non-smoking rooms', 'Fire extinguishers', 'Smoke alarms', 'German', 'English', 'French']","Situated in Collioure, 90 metres from Boramar Beach and 200 metres from Nord Beach, Matisse studio in centre near beach w/ balcony, AC features air-conditioned accommodation with a balcony and free WiFi. This recently renovated apartment is located 200 metres from Saint Vincent Beach and 70 metres from Collioure Royal Castle. The property is non-smoking and is located 33 km from Stade Gilbert Brutus.

The apartment has 1 bedroom, a flat-screen TV with streaming services, a fully equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment. The property has an outdoor dining area.

Casino Collioure is 2.8 km from the apartment, while Saint-Cyprien Golf Course is 23 km from the property. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from Matisse studio in centre near beach w/ balcony, AC.",https://www.booking.com/hotel/fr/matisse-studio-in-centre-near-beach-w-balcony-ac.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from=searchresults,42.5270323,3.0845335
1,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,"L'Escale de Collioure - Climatisé, parking privé sécurisé, vue mer"," 24 Rte Impériale - Appartement A306 -, 66190 Collioure, France ",Exceptional,10.0,2 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Parking garage', ""Children's high chair"", 'Dining table', 'Toaster', 'Oven', 'Tumble dryer', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Wardrobe or closet', 'Private bathroom', 'Free toiletries', 'Hairdryer', 'Shower', 'Sofa', 'TV', 'Drying rack for clothing', 'Ironing facilities', 'Iron', 'Outdoor furniture', 'Terrace', 'Tea/Coffee maker', 'Mountain view', 'Sea view', 'Air conditioning', 'Non-smoking throughout', 'Heating', 'Lift', 'Non-smoking rooms', 'English', 'Spanish', 'French']","Set in Collioure and only 500 metres from Reguers Beach, L'Escale de Collioure - Climatisé, parking privé sécurisé, vue mer offers accommodation with mountain views, free WiFi and free private parking. The air-conditioned accommodation is 600 metres from Oli Beach. The property is non-smoking and is located less than 1 km from Balette Beach.

The spacious apartment with a terrace and sea views has 2 bedrooms, a living room, a TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower.

Collioure Royal Castle is 1.7 km from the apartment, while Stade Gilbert Brutus is 35 km from the property. The nearest airport is Perpignan - Rivesaltes Airport, 43 km from L'Escale de Collioure - Climatisé, parking privé sécurisé, vue mer.",https://www.booking.com/hotel/fr/escale-de-collioure-climatise-parking-prive-securise-vue-mer.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from=searchresults,42.52182291,3.09370921
2,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,T3 piscine clim wifi garage," 4 Julien Py, 66190 Collioure, France ",Exceptional,9.5,2 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Parking garage', ""Children's high chair"", 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Microwave', 'Refrigerator', 'Wardrobe or closet', 'Toilet paper', 'Towels/sheets (extra fee)', 'Bath or shower', 'Private bathroom', 'Toilet', 'Hairdryer', 'Bath', 'Dining area', 'Sofa', 'Seating Area', 'Flat-screen TV', 'Cable channels', 'TV', 'Socket near the bed', 'Sofa bed', 'Drying rack for clothing', 'Tile/marble floor', 'Private entrance', 'Fan', 'Ironing facilities', 'Iron', 'Entire unit located on ground floor', 'Outdoor furniture', 'Outdoor dining area', 'Sun terrace', 'Barbecue', 'Private pool', 'Terrace', 'Seasonal', 'All ages welcome', 'Fence around pool', 'Tea/Coffee maker', 'Garden view', 'Private apartment in building', 'Semi-detached', 'Invoice provided', 'Private check-in/check-out', 'Concierge service', 'Designated smoking area', 'Air conditioning', 'Non-smoking throughout', 'Heating', 'Soundproof rooms', 'Non-smoking rooms', 'Smoke alarms', 'French']","Situated in Collioure, T3 piscine clim wifi garage features accommodation with private pool, free WiFi and free private parking for guests who drive. The air-conditioned accommodation is 1.3 km from Ouille Beach. The property is non-smoking and is located 1.5 km from Boramar Beach.

The apartment with a terrace and garden views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with an oven and a microwave, and 1 bathroom with a bath. Guests can take in the ambience of the surroundings from an outdoor dining area. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Port Avall Beach, Collioure Royal Castle and Casino Collioure. The nearest airport is Perpignan - Rivesaltes Airport, 33 km from T3 piscine clim wifi garage.",https://www.booking.com/hotel/fr/t3-piscine-clim-wifi-garage.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from=searchresults,42.52699221,3.07503153
3,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,Lumières à Collioure," 1 Rue Saint-Vincent, 66190 Collioure, France ",Superb,9.3,9 reviews,"['Free WiFi', 'Free WiFi', 'Kitchen', 'Dishwasher', 'Microwave', 'Refrigerator', 'Linen', 'Toilet paper', 'Towels', 'Private bathroom', 'Hairdryer', 'Desk', 'Flat-screen TV', 'Iron', 'Balcony', 'Tea/Coffee maker', 'Invoice provided', 'Air conditioning', 'Non-smoking throughout', 'Heating', 'Fire extinguishers', 'Smoke alarms', 'Key access', 'English', 'French']","A recently renovated property, Lumières à Collioure is set in Collioure near Nord Beach, Saint Vincent Beach and Collioure Royal Castle. Guests staying at this apartment have access to a balcony. Free WiFi is available throughout the property and Boramar Beach is 90 metres away.

The air-conditioned apartment is composed of 1 separate bedroom, a fully equipped kitchen with a dishwasher and a microwave, and 1 bathroom. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Stade Gilbert Brutus is 33 km from the apartment, while Casino Collioure is 2.8 km away. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from Lumières à Collioure.",https://www.booking.com/hotel/fr/lumieres-a-collioure.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from=searchresults,42.52710176,3.08449472
4,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,Les Suites de Collioure," 16 avenue du Général de Gaulle, 66190 Collioure, France ",Superb,9.3,285 reviews,"['Parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Dining table', 'Coffee machine', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Extra long beds (> 2 metres)', 'Towels', 'Private bathroom', 'Free toiletries', 'Hairdryer', 'Shower', 'Dining area', 'Flat-screen TV', 'Radio', 'Telephone', 'Soundproofing', 'Packed lunches', 'Tea/Coffee maker', 'Private apartment in building', 'Invoice provided', 'Private check-in/check-out', 'Express check-in/check-out', 'Air conditioning', 'Non-smoking throughout', 'Heating', 'Soundproof rooms', 'Family rooms', 'Non-smoking rooms', 'Fire extinguishers', 'CCTV in common areas', 'Key access', 'Safety deposit box', 'Catalan', 'English', 'Spanish', 'French']","Located in Collioure, 200 metres from Port Avall Beach, Les Suites de Collioure provides air-conditioned rooms with free WiFi and express check-in and check-out. This sustainable apartment is located 400 metres from Boramar Beach and 500 metres from Boutigue Beach. The apartment has family rooms.

The accommodation comes with a flat-screen TV and a private bathroom with shower and a hair dryer, while the kitchen features a dishwasher, an oven and a microwave. A toaster, a fridge and stovetop are also provided, as well as a coffee machine and a kettle. The units include a safety deposit box.

As an added convenience, the apartment offers packed lunches for guests to bring on excursions and other trips off-property.

Popular points of interest near Les Suites de Collioure include Balette Beach, Collioure Royal Castle and Casino Collioure. The nearest airport is Perpignan - Rivesaltes Airport, 42 km from the accommodation.",https://www.booking.com/hotel/fr/les-suites-de-collioure.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from_sustainable_property_sr=1&from=searchresults,42.52439,3.082726
5,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,Au coeur de Collioure," 6, Rue Rière, 66190 Collioure, France ",Superb,9.2,78 reviews,"['Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Dining table', 'Coffee machine', 'Cleaning products', 'Stovetop', 'Oven', 'Tumble dryer', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Microwave', 'Refrigerator', 'Kitchenette', 'Linen', 'Wardrobe or closet', 'Toilet paper', 'Towels', 'Bath or shower', 'Private bathroom', 'Toilet', 'Hairdryer', 'Shower', 'Dining area', 'Sofa', 'Seating Area', 'Flat-screen TV', 'Radio', 'TV', 'Socket near the bed', 'Sofa bed', 'Drying rack for clothing', 'Clothes rack', 'Tile/marble floor', 'Soundproofing', 'Private entrance', 'Fan', 'Upper floors accessible by stairs only', 'Beachfront', 'Open-air bath', 'Tea/Coffee maker', 'Live sport events (broadcast)', 'Live music/performance', 'Tour or class about local culture', 'Walking tours', 'Pub crawls', 'Temporary art galleries', 'Beach', 'Snorkelling', 'Diving', 'Hiking', 'Fishing', 'City view', 'Landmark view', 'Private apartment in building', 'Air conditioning', 'Non-smoking throughout', 'Heating', 'Soundproof rooms', 'Non-smoking rooms', 'Smoke alarms', 'English', 'French']","Set in Collioure, 50 metres from Boramar Beach and 200 metres from Nord Beach, Au coeur de Collioure offers accommodation with free WiFi in a historic building. This sustainable apartment is located 200 metres from Saint Vincent Beach and 100 metres from Collioure Royal Castle. The property is non-smoking and is situated 33 km from Stade Gilbert Brutus.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are offered in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

Activities such as snorkelling, fishing, hiking can be enjoyed in the surroundings, and guests can relax along the beachfront.

Casino Collioure is 2.8 km from the apartment, while Saint-Cyprien Golf Course is 23 km from the property. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from Au coeur de Collioure.",https://www.booking.com/hotel/fr/au-coeur-de-collioure.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from_sustainable_property_sr=1&from=searchresults,42.5273935,3.0847579
6,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,Studio Canta la Mar - Vue exceptionnelle," 10 Route Impériale, 66190 Collioure, France ",Superb,9.2,77 reviews,"['Free parking', 'Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Terrace', 'Free parking', 'Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Terrace', 'Street parking', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Microwave', 'Refrigerator', 'Linen', 'Wardrobe or closet', 'Extra long beds (> 2 metres)', 'Toilet paper', 'Towels', 'Bath or shower', 'Private bathroom', 'Toilet', 'Hairdryer', 'Shower', 'Dining area', 'Sofa', 'Seating Area', 'Socket near the bed', 'Drying rack for clothing', 'Hypoallergenic', 'Tile/marble floor', 'Soundproofing', 'Private entrance', 'Outdoor furniture', 'Beachfront', 'Outdoor dining area', 'Sun terrace', 'Terrace', 'Garden', 'Coffee house on site', 'Walking tours', 'Beach', 'Water sport facilities on site', 'Snorkelling', 'Horse riding', 'Diving', 'Cycling', 'Hiking', 'Canoeing', 'Windsurfing', 'Fishing', 'Tennis court', 'City view', 'Landmark view', 'Mountain view', 'Sea view', 'View', 'Private apartment in building', 'Detached', 'Invoice provided', 'Minimarket on site', 'Barber/beauty shop', 'Adult only', 'Air conditioning', 'Non-smoking throughout', 'Allergy-free room', 'Heating', 'Soundproof rooms', 'Non-smoking rooms', 'CCTV outside property', 'Smoke alarms', 'Key access', '24-hour security', 'Carbon monoxide detector', 'Safety deposit box', 'English', 'French']","Studio Canta la Mar - Vue exceptionnelle is a beachfront property located in Collioure, 100 metres from La Ballette Beach and 300 metres from the Collioure Windmill . The property features sea and city views.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a kettle, and 1 bathroom with a shower and a hairdryer.

The apartment offers a terrace.

Collioure Museum is 400 metres away. The nearest airport is Perpignan - Rivesaltes Airport, 39 km from Studio Canta la Mar - Vue exceptionnelle.",https://www.booking.com/hotel/fr/studio-canta-la-mar-vue-exceptionnelle.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from_sustainable_property_sr=1&from=searchresults,42.5244311,3.09031585
7,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,Les Roches Brunes," Route de Port-Vendres, 66190 Collioure, France ",Superb,9.1,902 reviews,"['Free parking', 'Restaurant', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Tea/coffee maker in all rooms', 'Bar', 'Very good breakfast', 'Free parking', 'Restaurant', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Tea/coffee maker in all rooms', 'Bar', 'Very good breakfast', 'Private bathroom', 'Shower', 'Sea view', 'View', 'Outdoor furniture', 'Sun terrace', 'Terrace', 'Garden', 'Flat-screen TV', 'Bar', 'Restaurant', 'Tea/Coffee maker', 'Accessible parking', 'Concierge service', 'Fax/photocopying', 'Express check-in/check-out', 'Babysitting/child services', 'Invoice provided', 'Board games/puzzles', 'Fire extinguishers', '24-hour security', 'Safety deposit box', 'Air conditioning', 'Lift', 'Heating', 'Fan', 'Family rooms', 'Non-smoking rooms', 'Upper floors accessible by elevator', 'Personal trainer', 'Yoga classes', 'Full body massage', 'Spa lounge/relaxation area', 'Facial treatments', 'Beauty Services', 'Sun umbrellas', 'Sun loungers or beach chairs', 'Massage', 'Solarium', 'English', 'Spanish', 'French']","Located in Collioure, 70 metres from Balette Beach, Les Roches Brunes provides accommodation with a garden, free private parking, a terrace and a restaurant. Featuring a bar, this 4-star hotel has air-conditioned rooms with a private bathroom. Guests can enjoy sea views.

Guest rooms in the hotel are equipped with a flat-screen TV. Each room comes with a safety deposit box, while selected rooms are equipped with a balcony.

Guests at Les Roches Brunes can enjoy a continental breakfast.

Popular points of interest near the accommodation include Boutigue Beach, Saint Vincent Beach and Collioure Royal Castle. The nearest airport is Perpignan - Rivesaltes Airport, 42 km from Les Roches Brunes.",https://www.booking.com/hotel/fr/les-roches-brunes-collioure.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from_sustainable_property_sr=1&from=searchresults,42.52534777,3.09032446
8,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,66B - Bel appartement à 800 m de la mer - parking privé," 27 Rue Romain Rolland, 66190 Collioure, France ",Superb,9.0,22 reviews,"['Free parking', 'Terrace', 'Free parking', 'Terrace', 'Dining table', 'Coffee machine', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Linen', 'Toilet paper', 'Towels', 'Bath or shower', 'Toilet', 'Hairdryer', 'Shower', 'Dining area', 'Sofa', 'Seating Area', 'Flat-screen TV', 'TV', 'Sofa bed', 'Drying rack for clothing', 'Heating', 'Iron', 'Outdoor dining area', 'Outdoor furniture', 'Balcony', 'Terrace', 'City view', 'Private apartment in building', 'Air conditioning', 'Non-smoking throughout', 'English', 'Spanish', 'French']","Set in Collioure, 500 metres from Boramar Beach and 700 metres from Nord Beach, 66B - Bel appartement à 800 m de la mer - parking privé offers a terrace and air conditioning. This property offers access to a balcony and free private parking. The property is non-smoking and is situated 800 metres from Port Avall Beach.

This apartment has 1 bedroom, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. Towels and bed linen are offered in the apartment. The property has an outdoor dining area.

Collioure Royal Castle is 500 metres from the apartment, while Stade Gilbert Brutus is 32 km from the property. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from 66B - Bel appartement à 800 m de la mer - parking privé.",https://www.booking.com/hotel/fr/bel-appartement-a-800-m-de-la-mer-parking-prive.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from=searchresults,42.5275373,3.0795944
9,72068913,Collioure,42.52505,3.0831554,2023-11-13,53,2.14,There will be partly cloudy today,22.42,15.07,22.42,22.1,17.36,0.0,0.0,Le Madeloc Hôtel & Spa," 24 Rue Romain Rolland, 66190 Collioure, France ",Fabulous,8.9,795 reviews,"['Outdoor swimming pool', 'Private parking', 'Spa and wellness centre', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Facilities for disabled guests', 'Terrace', 'Tea/coffee maker in all rooms', 'Superb breakfast', 'Outdoor swimming pool', 'Private parking', 'Spa and wellness centre', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Facilities for disabled guests', 'Terrace', 'Tea/coffee maker in all rooms', 'Superb breakfast', 'Toilet paper', 'Towels', 'Bath or shower', 'Private bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower', 'Wardrobe or closet', 'Dressing room', 'Outdoor furniture', 'Sun terrace', 'Balcony', 'Terrace', 'Garden', 'Electric kettle', 'Socket near the bed', 'Desk', 'Flat-screen TV', 'Satellite channels', 'Telephone', 'TV', 'Coffee house on site', 'Wine/champagne', 'Special diet menus (on request)', 'Snack bar', 'Breakfast in the room', 'Tea/Coffee maker', 'Electric vehicle charging station', 'Daily housekeeping', 'Concierge service', 'Luggage storage', 'Fax/photocopying', 'Laundry', '24-hour front desk', 'Room service', 'Invoice provided', 'Board games/puzzles', 'Fire extinguishers', 'CCTV outside property', 'CCTV in common areas', 'Smoke alarms', 'Security alarm', 'Key card access', 'Key access', '24-hour security', 'Safety deposit box', 'Designated smoking area', 'Air conditioning', 'Non-smoking throughout', 'Allergy-free room', 'Heating', 'Soundproofing', 'Laptop safe', 'Soundproof rooms', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Lower bathroom sink', 'Higher level toilet', 'Toilet with grab rails', 'Wheelchair accessible', 'Seasonal', 'Pool is on rooftop', 'Pool with view', 'Full body massage', 'Hand massage', 'Head massage', 'Couples massage', 'Foot massage', 'Neck massage', 'Back massage', 'Spa/wellness packages', 'Spa lounge/relaxation area', 'Steam room', 'Spa facilities', 'Body wrap', 'Body scrub', 'Body treatments', 'Pedicure', 'Manicure', 'Make up services', 'Waxing services', 'Facial treatments', 'Beauty Services', 'Sun umbrellas', 'Sun loungers or beach chairs', 'Hammam', 'Hot tub/Jacuzzi', 'Massage', 'Spa and wellness centre', 'Solarium', 'English', 'Spanish', 'French']","Just 500 metres from Collioure town centre and a 10-minute walk from the beach is Le Madeloc Hôtel & Spa. It offers a year-round, heated outdoor swimming pool, a rooftop solarium, a hot tub and a hammam. Beauty treatments and massages are available upon request.

Guest rooms at Madeloc are decorated in neutral tones and one bright colour, each also features air conditioning, an LCD TV and a minibar. Some of the rooms also have a terrace or a balcony. Rooms are located on one of the three floors of the hotel and are accessible by stairs only. One room is adapted for guests with reduced mobility.

A buffet breakfast is offered every morning with the option to dine in the comfort of guest rooms. Madeloc also offers free WiFi throughout the property.

A gift shop is also available and offers local produce, spa products and jewelry.

Collioure Train Station is just 200 metres away and the D914 is 5 minutes away. The hotel is 6.5 km from Argelès-sur-Mer and 25.5 km from the Spanish border. Upon request and for an extra cost, private parking is possible on site.",https://www.booking.com/hotel/fr/madeloc.en-gb.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At_dyaoGwAIB0gIkYmVmNjkxZWItOWUyNC00N2E0LWFhMzYtZjM3MDRlZmQyZmI02AIF4AIB&sid=4dda290ad1fed32f23bd811a4c1e4d36&aid=304142&ucfs=1&arphpl=1&dest_id=-1421032&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=795283f06b090236&srepoch=1699901154&from_sustainable_property_sr=1&from=searchresults,42.52876467,3.07865426
