place_id,city,lat,lon,date,humidity (%),wind_speed (km/h),summary,temp_day (°C),temp_min (°C),temp_max (°C),feels_like_day (°C),feels_like_night (°C),pop (%),rain (mm)
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-13,92,11.83,Expect a day of partly cloudy with rain,15.98,12.37,16.24,16.04,11.93,100.0,3.32
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-14,90,11.01,Expect a day of partly cloudy with rain,12.2,10.92,13.76,11.83,10.42,100.0,10.39
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-15,83,6.72,Expect a day of partly cloudy with rain,12.37,9.27,12.98,11.83,9.44,59.0,0.84
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-16,96,10.87,Expect a day of partly cloudy with rain,13.92,10,15.65,13.87,11.2,100.0,7.78
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-17,65,11.46,"The day will start with rain through the late morning hours, transitioning to partly cloudy",11.69,8.94,11.69,10.61,7.88,100.0,1.26
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-18,78,7.79,There will be partly cloudy today,11.36,7.91,12.09,10.59,9.38,0.0,0
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-19,75,7.46,Expect a day of partly cloudy with rain,14.29,10.17,14.29,13.73,9.67,42.0,0.29
245061662,Mont Saint-Michel,48.6359541,-1.511459954959514,2023-11-20,84,10.03,"You can expect partly cloudy in the morning, with rain in the afternoon",11.23,10,11.59,10.6,9.95,100.0,1.52
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-13,87,11.92,Expect a day of partly cloudy with rain,16.2,12.24,16.54,16.15,11.94,100.0,2.35
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-14,86,12.81,Expect a day of partly cloudy with rain,13.21,11.76,13.99,12.83,11.24,100.0,8.07
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-15,79,8.5,Expect a day of partly cloudy with rain,12.63,10.28,13.25,12.01,10.38,45.0,0.39
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-16,84,13.13,Expect a day of partly cloudy with rain,15.6,10.51,15.6,15.41,11.48,100.0,10.55
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-17,61,13.68,"The day will start with rain through the late morning hours, transitioning to partly cloudy",12.14,10.15,12.14,11,9.1,100.0,0.5
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-18,81,9.74,There will be partly cloudy today,12.72,9.23,13.79,12.16,11.29,0.0,0
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-19,74,8.49,Expect a day of partly cloudy with rain,14.41,11.18,14.5,13.84,10.68,34.0,0.13
245319607,Saint-Malo,48.649518,-2.0260409,2023-11-20,82,12.04,"You can expect partly cloudy in the morning, with rain in the afternoon",11.92,10.71,12.11,11.31,10.96,100.0,1.27
244577445,Bayeux,49.2764624,-0.7024738,2023-11-13,90,11.75,Expect a day of partly cloudy with rain,15.68,11.3,15.68,15.65,11.14,100.0,6.14
244577445,Bayeux,49.2764624,-0.7024738,2023-11-14,92,11.42,Expect a day of partly cloudy with rain,10.61,10.55,12.73,10.13,10.12,100.0,9.95
244577445,Bayeux,49.2764624,-0.7024738,2023-11-15,76,8.25,"The day will start with clear sky through the late morning hours, transitioning to partly cloudy",12.57,8.81,12.83,11.87,8.46,0.0,0
244577445,Bayeux,49.2764624,-0.7024738,2023-11-16,92,12.15,Expect a day of partly cloudy with rain,11.23,9.2,14.25,10.81,10,100.0,5.14
244577445,Bayeux,49.2764624,-0.7024738,2023-11-17,63,11.28,Expect a day of partly cloudy with rain,11.16,7.22,11.16,9.98,5.27,37.0,0.29
244577445,Bayeux,49.2764624,-0.7024738,2023-11-18,69,8.51,There will be partly cloudy today,11.17,8.51,11.17,10.14,9.88,0.0,0
244577445,Bayeux,49.2764624,-0.7024738,2023-11-19,76,8.59,Expect a day of partly cloudy with rain,14.1,9.72,14.1,13.55,7.1,21.0,0.15
244577445,Bayeux,49.2764624,-0.7024738,2023-11-20,85,9.71,"You can expect partly cloudy in the morning, with rain in the afternoon",10.96,9.96,11.16,10.33,6.53,100.0,1.24
84845221,Le Havre,49.4938975,0.1079732,2023-11-13,89,14.31,Expect a day of partly cloudy with rain,15.65,11.74,15.79,15.59,12.34,100.0,8.59
84845221,Le Havre,49.4938975,0.1079732,2023-11-14,94,13.04,"The day will start with partly cloudy through the late morning hours, transitioning to rain",12.29,12.29,13.22,12.03,12.17,100.0,9.69
84845221,Le Havre,49.4938975,0.1079732,2023-11-15,76,10.83,"You can expect rain in the morning, with partly cloudy in the afternoon",12.49,11.32,12.73,11.78,10.67,100.0,4.44
84845221,Le Havre,49.4938975,0.1079732,2023-11-16,91,15.28,Expect a day of partly cloudy with rain,11.4,10.67,14.42,10.97,11.98,100.0,6.18
